file_path,caption
train/Distorted AM Radio noise.npy,A muddled noise of broken channel of the TV
train/Distorted AM Radio noise.npy,A television blares the rhythm of a static TV.
train/Distorted AM Radio noise.npy,Loud television static dips in and out of focus
train/Distorted AM Radio noise.npy,The loud buzz of static constantly changes pitch and volume.
train/Distorted AM Radio noise.npy,heavy static and the beginnings of a signal on a transistor radio
train/Paper_Parchment_Rustling.npy,A person is turning a map over and over.
train/Paper_Parchment_Rustling.npy,A person is very carefully rapping a gift for someone else.
train/Paper_Parchment_Rustling.npy,A person is very carefully wrapping a gift for someone else.
train/Paper_Parchment_Rustling.npy,"He sighed as he turned the pages of the book, stopping to scan the information."
train/Paper_Parchment_Rustling.npy,"papers are being turned, stopped, then turned again and someone is breathing."
train/03 Whales Slowing Down.npy,Several barnyard animals mooing in a barn while it rains outside.
train/03 Whales Slowing Down.npy,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water."
train/03 Whales Slowing Down.npy,"Underwater, large numbers of shrimp clicking and several whales vocalizing."
train/03 Whales Slowing Down.npy,Whales sing to one another over the flowing water in the distance.
train/03 Whales Slowing Down.npy,wales sing to one another with water flowing in the background
train/Rope tied to boat in port.npy,An office chair is squeaking as someone bends back and forth in it.
train/Rope tied to boat in port.npy,Popping and squeaking gradually tapers off to a low level.
train/Rope tied to boat in port.npy,Someone is opening a creaky door slowly while a dog barks in the background
train/Rope tied to boat in port.npy,Squeaking and popping followed by gradual popping and tapering off.
train/Rope tied to boat in port.npy,an office chair is squeaking as someone leans forward and backward in it
train/carpenter bee.npy,A flying bee is buzzing loudly around an object and its wing hits it.
train/carpenter bee.npy,An annoying fly is buzzing loudly and consistently.
train/carpenter bee.npy,An insect buzzing in the foreground as birds chirp in the background.
train/carpenter bee.npy,"An insect trapped in a spider web struggles, breaks free and flies away."
train/carpenter bee.npy,"Outdoors, insect trapped in a spider web and then breaks loose and flies away."
train/violin1.npy,A bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody.
train/violin1.npy,A low stringed instrument drones a steady tone and is eventually joined by violins.
