file_path,caption
train/Yr1nicOVtvkQ.npy,A woman talks nearby as water pours
train/YUDGBjjwyaqE.npy,Multiple clanging and clanking sounds
train/Y3eJ9RynJzP8.npy,"The wind is blowing, insects are singing, and rustling occurs"
train/Y3eK62q7SnVU.npy,The wind is blowing and rustling occurs
train/Y3eGXNIadwGk.npy,Person is whistling
train/Y3eHYGSux1Ps.npy,"A motorboat cruises along, and a man talks"
train/Y3eNWJ4Hle6Y.npy,The sizzling of food while a dish is clanking
train/Y3eQYsDrfsTc.npy,Someone has a hiccup while typing
train/Y3eL37ZUN5S4.npy,Aircraft engine hum with man and woman speaking
train/Y3eN7ujFJzXQ.npy,Hissing followed by clanking dishes and speech
train/Ypgeooj3u3CM.npy,A woman is talking the whole time something is sprayed a few times in the middle
train/Ypgl_pG7j7d8.npy,A man talks nearby as water pours out of a faucet
train/Y3eSIVCoTR2I.npy,Crackling noise precedes a fly buzzing
train/Y3eZrNSkyUmA.npy,A dog whimpers quietly
train/Y1OIVJfQTGVk.npy,Engine revving loudly
train/Y1OIm8vLHCwo.npy,An adult female speaks and a cat meows
train/Y77gagnj481E.npy,Child giving a speech and crowd clapping
train/Y77fnehVF7wE.npy,A dog barks twice and then whimpers
train/Y1O662rM-u0E.npy,A whoosh sound is heard loudly as a car revs its engines
train/Y1O7-QuhweZE.npy,Children screaming in the background as the sound of water flowing by
train/Y1O2vHreD6eI.npy,"A motor vehicle engine is running, a decelerating buzzing occurs, mechanical whines occur, and the motor vehicle engine accelerates"
train/Y1O5u-mBU2JI.npy,"A man speaking in a foreign language, can hear doves in the background"
train/Y1OCyUeuv2-Q.npy,Men speaking then sneezing
train/Y1OI6GPNHhLg.npy,A man speaks slowly and with strength
train/Y1OB2TC-aAqY.npy,A horse galloping
train/Y1OCv1wCGK-s.npy,"A child screams, an adult male is talking and vehicles are revving"
train/YkZ7_b_VVumc.npy,Splashing water with children speaking
train/YvvbK4KaEOTc.npy,Humming of an engine accelerating and revving
train/YOWhT0Gs-_q8.npy,Several explosions burst nearby as people grunt loudly
train/Yld9qe2J9Huk.npy,Someone snores briefly
train/Yoy2b5i_4-20.npy,A woman talking and then a cat meowing
train/YDJVEiFFUB6g.npy,A woman talks while frying something
train/Yoxs8A0Cdwwc.npy,Crashing waves and a gust of wind
train/YMDoHzN4CYYg.npy,Humming and vibrating of a motor
train/YkxZQJiOLSqE.npy,Honking of a horn of a passing train
train/YkxirwP8Idn0.npy,A man speaks then coughs followed by laughter
train/YMDSDhWhWfL8.npy,A train running followed by a train horn
train/YMDRJ8icmjgI.npy,A domestic animal is snoring and breathing loudly
train/YR8pcOO_A2uE.npy,Someone whistles nearby
train/YvfbOX5T8YDk.npy,Steam hissing as a train runs slowly on railroad tracks as gears crank and rumble
train/YBals78LmH5w.npy,Children speak and laugh with a man
train/YRmJE9uVdgAk.npy,A man yelling and ducks in the background
train/Y-5weqk40jaI.npy,Strong wind against the microphone simultaneously with heavy rain.
train/Y7PFt6ML7enY.npy,A child cries and yells and an adult speaks in response
train/Y7PBpJ4Uizfw.npy,Several sirens are wailing and a horn is honked twice
train/Y-62RXhX5GZk.npy,A dog grunts and an adult male speaks
train/Y-64ZmjOBlE8.npy,Water being turned on and off
train/Y-65gZY_yF3o.npy,Helicopter rotors drumming and squeaking bird
train/Y-668dhzzDQE.npy,Car engine sound in car race
train/Y-67q0yYR0zk.npy,People in a small crowd are speaking and a dog barks
train/Y-68677bCJWM.npy,Distressed cat growling and hissing violently while woman laughs and talks
train/Y-68L7q5JlL4.npy,Wind against a microphone on a speeding car
train/Y5sfQQb6HpSc.npy,A whistle and another man speaks and the whistling stops.
train/Y5seYj-vSnEc.npy,"Two men exchange words, then a car engine revs followed by a siren and fade in music"
train/Y5sWgFNwk5zY.npy,Someone fires a gun with others talking in the background
train/Y5sTt2AMCjSA.npy,A car is racing away very fast and its tires squeal a little
train/Y5sZnJLp9We4.npy,A loud siren whizzes past
train/Y5sXK2pdYAwg.npy,A woman hiccups and then women laugh and speak
train/YogXzNVUU3Xk.npy,"Coughing by woman and child, then woman and child speaking"
train/Y3qPzSfovVmk.npy,Truck engine running then a dragging noise
